	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.961467225059103, iter: 282200.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7fa75da4d7b8>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0005  282.4 k   5.97  | 0.0000  0.6882 | 1.2574  0.7074 | 1.5657  0.6250 |    21 min |  1.21 s | 282400,800 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2960  0.7081 | 1.0294  0.7344 |    23 min |  1.21 s | 282405,820 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2759  0.7115 | 1.2530  0.7344 |    23 min |  1.21 s | 282410,840 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2455  0.7148 | 1.1751  0.7188 |    24 min |  1.21 s | 282415,860 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2731  0.7069 | 1.3834  0.7188 |    24 min |  1.21 s | 282420,880 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2783  0.7063 | 1.6518  0.6406 |    25 min |  1.21 s | 282425,900 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2563  0.7100 | 1.0614  0.7656 |    25 min |  1.21 s | 282430,920 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2548  0.7099 | 1.1221  0.7188 |    26 min |  1.21 s | 282435,940 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2577  0.7124 | 1.2822  0.7031 |    26 min |  1.21 s | 282440,960 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2583  0.7124 | 1.1045  0.7812 |    27 min |  1.21 s | 282445,980 
0.0005  282.4 k   5.97  | 1.3494  0.6930 | 1.2524  0.7136 | 1.0359  0.7656 |    27 min |  1.21 s | 282450,1000 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.3210  0.6941 | 1.5003  0.6250 |    28 min |  1.21 s | 282455,1020 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2742  0.7027 | 1.3424  0.6719 |    28 min |  1.21 s | 282460,1040 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.3212  0.6968 | 1.4001  0.6875 |    29 min |  1.21 s | 282465,1060 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.3091  0.6988 | 1.7246  0.5781 |    30 min |  1.21 s | 282470,1080 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.3122  0.6976 | 1.2599  0.6875 |    30 min |  1.21 s | 282475,1100 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.3102  0.6977 | 1.1389  0.7500 |    31 min |  1.21 s | 282480,1120 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2922  0.7022 | 1.2862  0.6875 |    31 min |  1.21 s | 282485,1140 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2794  0.7049 | 0.9718  0.7656 |    32 min |  1.21 s | 282490,1160 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2821  0.7051 | 1.1645  0.7031 |    32 min |  1.21 s | 282495,1180 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2820  0.7056 | 1.0410  0.7031 |    33 min |  1.21 s | 282500,1200 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2382  0.7188 | 1.1453  0.6875 |    33 min |  1.21 s | 282505,1220 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2531  0.7119 | 0.9657  0.7969 |    34 min |  1.21 s | 282510,1240 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2405  0.7153 | 1.2525  0.7031 |    34 min |  1.21 s | 282515,1260 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2439  0.7152 | 1.6138  0.6406 |    35 min |  1.21 s | 282520,1280 
